date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-11-2025,Gujarat,Ahmadabad,380007,1,0,0
02-11-2025,Gujarat,Ahmadabad,380013,1,0,0
02-11-2025,Gujarat,Ahmadabad,380015,2,0,0
02-11-2025,Gujarat,Ahmadabad,380021,1,0,0
02-11-2025,Gujarat,Ahmadabad,380022,1,0,0
02-11-2025,Gujarat,Ahmadabad,382350,1,0,0
02-11-2025,Gujarat,Ahmadabad,382449,1,0,0
03-11-2025,Gujarat,Ahmadabad,380051,0,1,0
03-11-2025,Gujarat,Ahmadabad,382340,1,0,0
12-11-2025,Gujarat,Ahmadabad,380001,1,1,0
12-11-2025,Gujarat,Ahmadabad,380013,0,1,0
12-11-2025,Gujarat,Ahmadabad,380028,2,1,0
12-11-2025,Gujarat,Ahmadabad,380051,2,0,0
12-11-2025,Gujarat,Ahmadabad,380055,1,0,0
11-11-2025,Gujarat,Ahmadabad,380009,0,1,0
11-11-2025,Gujarat,Ahmadabad,380051,1,0,0
11-11-2025,Gujarat,Ahmadabad,382345,1,0,0
15-11-2025,Gujarat,Ahmadabad,380001,3,0,0
15-11-2025,Gujarat,Ahmadabad,380004,1,0,0
15-11-2025,Gujarat,Ahmadabad,380027,1,0,0
15-11-2025,Gujarat,Ahmadabad,380028,1,0,0
15-11-2025,Gujarat,Ahmadabad,380058,0,1,0
16-11-2025,Gujarat,Ahmadabad,380001,1,0,0
16-11-2025,Gujarat,Ahmadabad,380004,3,0,0
16-11-2025,Gujarat,Ahmadabad,380008,3,2,0
16-11-2025,Gujarat,Ahmadabad,380051,1,0,0
16-11-2025,Gujarat,Ahmadabad,380061,3,0,0
16-11-2025,Gujarat,Ahmadabad,382330,2,0,0
18-11-2025,Gujarat,Ahmadabad,380021,2,0,0
17-11-2025,Gujarat,Ahmadabad,380026,1,0,0
19-11-2025,Gujarat,Ahmadabad,380013,0,1,0
19-11-2025,Gujarat,Ahmadabad,380050,1,1,0
19-11-2025,Gujarat,Ahmadabad,380058,1,1,0
19-11-2025,Gujarat,Ahmadabad,382443,0,1,0
25-11-2025,Gujarat,Ahmadabad,380052,0,1,0
25-11-2025,Gujarat,Ahmadabad,380055,1,0,0
25-11-2025,Gujarat,Ahmadabad,382350,0,2,0
25-11-2025,Gujarat,Ahmadabad,382480,1,0,0
15-12-2025,Gujarat,Ahmadabad,382330,3,0,0
15-12-2025,Gujarat,Ahmadabad,382350,0,1,0
22-12-2025,Gujarat,Ahmadabad,380013,1,0,0
22-12-2025,Gujarat,Ahmadabad,380028,2,0,0
22-12-2025,Gujarat,Ahmadabad,380050,1,0,0
22-12-2025,Gujarat,Ahmadabad,380051,1,0,0
22-12-2025,Gujarat,Ahmadabad,382440,1,0,0
21-12-2025,Gujarat,Ahmadabad,380016,1,0,0
21-12-2025,Gujarat,Ahmadabad,380022,1,0,0
21-12-2025,Gujarat,Ahmadabad,382481,1,0,0
24-12-2025,Gujarat,Ahmadabad,380001,1,1,0
24-12-2025,Gujarat,Ahmadabad,382345,1,0,0
23-12-2025,Gujarat,Ahmadabad,380007,1,0,0
23-12-2025,Gujarat,Ahmadabad,380024,1,0,0
23-12-2025,Gujarat,Ahmadabad,380061,1,0,0
23-12-2025,Gujarat,Ahmadabad,382415,1,0,0
25-12-2025,Gujarat,Ahmadabad,380005,1,0,0
25-12-2025,Gujarat,Ahmadabad,382115,1,0,0
25-12-2025,Gujarat,Ahmadabad,382330,0,1,0
25-12-2025,Gujarat,Ahmadabad,382440,1,0,0
27-12-2025,Gujarat,Ahmadabad,380006,1,0,0
29-12-2025,Gujarat,Ahmadabad,380028,0,1,0
28-12-2025,Gujarat,Ahmadabad,380013,1,0,0
28-12-2025,Gujarat,Ahmadabad,380015,1,0,0
01-01-2026,Gujarat,Ahmadabad,380028,0,1,0
01-01-2026,Gujarat,Ahmadabad,382445,1,1,0
31-12-2025,Gujarat,Ahmadabad,380051,1,0,0
31-12-2025,Gujarat,Ahmadabad,382480,0,1,0
02-01-2026,Gujarat,Ahmadabad,380061,2,1,0
02-01-2026,Gujarat,Ahmadabad,382350,1,0,0
02-01-2026,Gujarat,Ahmadabad,382481,1,0,0
09-06-2025,Gujarat,Ahmadabad,380004,1,1,0
09-06-2025,Gujarat,Ahmadabad,382345,0,1,0
09-06-2025,Gujarat,Ahmadabad,382481,0,1,0
10-06-2025,Gujarat,Ahmadabad,380004,1,0,0
10-06-2025,Gujarat,Ahmadabad,380021,1,0,0
10-06-2025,Gujarat,Ahmadabad,380024,1,0,0
13-06-2025,Gujarat,Ahmadabad,380004,1,0,0
13-06-2025,Gujarat,Ahmadabad,380021,1,0,0
13-06-2025,Gujarat,Ahmadabad,380026,0,1,0
13-06-2025,Gujarat,Ahmadabad,382440,0,1,0
13-06-2025,Gujarat,Ahmadabad,382443,1,0,0
14-06-2025,Gujarat,Ahmadabad,380004,1,1,0
14-06-2025,Gujarat,Ahmadabad,380007,1,1,0
14-06-2025,Gujarat,Ahmadabad,380008,0,1,0
14-06-2025,Gujarat,Ahmadabad,380024,1,0,0
14-06-2025,Gujarat,Ahmadabad,380055,1,0,0
14-06-2025,Gujarat,Ahmadabad,382330,0,1,0
12-06-2025,Gujarat,Ahmadabad,380001,1,1,0
12-06-2025,Gujarat,Ahmadabad,380015,1,0,0
12-06-2025,Gujarat,Ahmadabad,382480,0,1,0
15-06-2025,Gujarat,Ahmadabad,380024,0,1,0
15-06-2025,Gujarat,Ahmadabad,382330,1,0,0
15-06-2025,Gujarat,Ahmadabad,382415,1,0,0
17-06-2025,Gujarat,Ahmadabad,380024,0,1,0
16-06-2025,Gujarat,Ahmadabad,380007,1,0,0
16-06-2025,Gujarat,Ahmadabad,380021,1,0,0
16-06-2025,Gujarat,Ahmadabad,382110,0,1,0
16-06-2025,Gujarat,Ahmadabad,382350,1,0,0
19-06-2025,Gujarat,Ahmadabad,382443,0,1,0
19-06-2025,Gujarat,Ahmadabad,382460,0,1,0
18-06-2025,Gujarat,Ahmadabad,382475,1,0,0
01-09-2025,Gujarat,Ahmadabad,380007,2,0,0
01-09-2025,Gujarat,Ahmadabad,380026,2,0,0
01-09-2025,Gujarat,Ahmadabad,382415,1,0,0
01-06-2025,Gujarat,Ahmadabad,382421,147,59,13
01-07-2025,Gujarat,Ahmadabad,380015,135,89,15
01-07-2025,Gujarat,Ahmadabad,382330,321,197,15
01-07-2025,Gujarat,Ahmadabad,382421,116,68,12
03-09-2025,Gujarat,Ahmadabad,380001,1,2,0
03-09-2025,Gujarat,Ahmadabad,380023,0,1,0
03-09-2025,Gujarat,Ahmadabad,382220,1,0,0
03-09-2025,Gujarat,Ahmadabad,382480,0,1,0
02-09-2025,Gujarat,Ahmadabad,380028,0,1,0
06-09-2025,Gujarat,Ahmadabad,380054,0,1,0
06-09-2025,Gujarat,Ahmadabad,382480,1,0,0
04-09-2025,Gujarat,Ahmadabad,380001,0,1,0
04-09-2025,Gujarat,Ahmadabad,380015,1,0,0
04-09-2025,Gujarat,Ahmadabad,380054,1,1,0
04-09-2025,Gujarat,Ahmadabad,380058,1,0,0
04-09-2025,Gujarat,Ahmadabad,382350,3,0,0
09-09-2025,Gujarat,Ahmadabad,380007,1,0,0
09-09-2025,Gujarat,Ahmadabad,380026,1,0,0
09-09-2025,Gujarat,Ahmadabad,382220,1,0,0
08-09-2025,Gujarat,Ahmadabad,380004,1,0,0
08-09-2025,Gujarat,Ahmadabad,380015,0,1,0
08-09-2025,Gujarat,Ahmadabad,382425,6,0,0
10-09-2025,Gujarat,Ahmadabad,380015,1,0,0
10-09-2025,Gujarat,Ahmadabad,380018,1,0,0
10-09-2025,Gujarat,Ahmadabad,380022,2,0,0
10-09-2025,Gujarat,Ahmadabad,382443,1,0,0
11-09-2025,Gujarat,Ahmadabad,380024,1,0,0
11-09-2025,Gujarat,Ahmadabad,380051,1,0,0
11-09-2025,Gujarat,Ahmadabad,380058,1,0,0
14-09-2025,Gujarat,Ahmadabad,380016,1,0,0
15-09-2025,Gujarat,Ahmadabad,380022,1,0,0
12-09-2025,Gujarat,Ahmadabad,380007,2,0,0
12-09-2025,Gujarat,Ahmadabad,380016,1,0,0
16-09-2025,Gujarat,Ahmadabad,380001,2,1,0
16-09-2025,Gujarat,Ahmadabad,380004,2,0,0
16-09-2025,Gujarat,Ahmadabad,380006,1,0,0
17-09-2025,Gujarat,Ahmadabad,380013,3,0,0
17-09-2025,Gujarat,Ahmadabad,380024,0,2,0
17-09-2025,Gujarat,Ahmadabad,380050,1,0,0
18-09-2025,Gujarat,Ahmadabad,380001,0,2,0
18-09-2025,Gujarat,Ahmadabad,380028,1,0,0
19-09-2025,Gujarat,Ahmadabad,380005,1,0,0
19-09-2025,Gujarat,Ahmadabad,380013,1,1,0
19-09-2025,Gujarat,Ahmadabad,382440,1,0,0
22-09-2025,Gujarat,Ahmadabad,380005,1,0,0
22-09-2025,Gujarat,Ahmadabad,382345,2,0,0
22-09-2025,Gujarat,Ahmadabad,387810,1,0,0
21-09-2025,Gujarat,Ahmadabad,380004,1,0,0
24-09-2025,Gujarat,Ahmadabad,382345,1,0,0
25-09-2025,Gujarat,Ahmadabad,380001,2,0,0
29-09-2025,Gujarat,Ahmadabad,382345,1,0,0
26-10-2025,Gujarat,Ahmadabad,380013,1,0,0
13-10-2025,Gujarat,Ahmadabad,380015,1,0,0
15-10-2025,Gujarat,Ahmadabad,380008,1,0,0
15-10-2025,Gujarat,Ahmadabad,380021,1,1,0
15-10-2025,Gujarat,Ahmadabad,382345,1,1,0
17-10-2025,Gujarat,Ahmadabad,380016,0,1,0
17-10-2025,Gujarat,Ahmadabad,380023,0,1,0
17-10-2025,Gujarat,Ahmadabad,382445,0,1,0
16-10-2025,Gujarat,Ahmadabad,380018,1,0,0
16-10-2025,Gujarat,Ahmadabad,382445,1,0,0
16-10-2025,Gujarat,Ahmadabad,387810,1,0,0
19-10-2025,Gujarat,Ahmadabad,380024,1,0,0
19-10-2025,Gujarat,Ahmadabad,380055,0,1,0
19-10-2025,Gujarat,Ahmadabad,380061,1,0,0
19-10-2025,Gujarat,Ahmadabad,382340,1,0,0
19-10-2025,Gujarat,Ahmadabad,382415,1,0,0
24-10-2025,Gujarat,Ahmadabad,380058,2,0,0
24-10-2025,Gujarat,Ahmadabad,382340,1,0,0
03-11-2025,Gujarat,Ahmadabad,382350,0,1,0
05-11-2025,Gujarat,Ahmadabad,380055,1,0,0
05-11-2025,Gujarat,Ahmadabad,382340,0,1,0
06-11-2025,Gujarat,Ahmadabad,380021,1,0,0
07-11-2025,Gujarat,Ahmadabad,380005,1,0,0
07-11-2025,Gujarat,Ahmadabad,380016,1,0,0
07-11-2025,Gujarat,Ahmadabad,380024,0,1,0
07-11-2025,Gujarat,Ahmadabad,382330,1,0,0
09-11-2025,Gujarat,Ahmadabad,380007,1,0,0
09-11-2025,Gujarat,Ahmadabad,380013,1,0,0
09-11-2025,Gujarat,Ahmadabad,380015,2,0,0
09-11-2025,Gujarat,Ahmadabad,382405,0,1,0
08-11-2025,Gujarat,Ahmadabad,380023,1,0,0
08-11-2025,Gujarat,Ahmadabad,382350,1,0,0
08-11-2025,Gujarat,Ahmadabad,382443,1,1,0
12-11-2025,Gujarat,Ahmadabad,380058,0,1,0
12-11-2025,Gujarat,Ahmadabad,382340,1,0,0
13-11-2025,Gujarat,Ahmadabad,380009,1,0,0
13-11-2025,Gujarat,Ahmadabad,380055,3,0,0
13-11-2025,Gujarat,Ahmadabad,382350,1,0,0
17-11-2025,Gujarat,Ahmadabad,382443,2,0,0
16-11-2025,Gujarat,Ahmadabad,380009,1,0,0
16-11-2025,Gujarat,Ahmadabad,380016,1,0,0
16-11-2025,Gujarat,Ahmadabad,382345,1,0,0
16-11-2025,Gujarat,Ahmadabad,382415,1,0,0
18-11-2025,Gujarat,Ahmadabad,380024,1,2,0
18-11-2025,Gujarat,Ahmadabad,382340,1,0,0
18-11-2025,Gujarat,Ahmadabad,382480,2,0,0
25-11-2025,Gujarat,Ahmadabad,380024,0,1,0
25-11-2025,Gujarat,Ahmadabad,380050,1,0,0
25-11-2025,Gujarat,Ahmadabad,380058,1,0,0
25-11-2025,Gujarat,Ahmadabad,382345,1,0,0
15-12-2025,Gujarat,Ahmadabad,380026,1,0,0
30-10-2025,Gujarat,Ahmadabad,380008,1,1,0
30-10-2025,Gujarat,Ahmadabad,382350,0,1,0
31-10-2025,Gujarat,Ahmadabad,380026,1,1,0
02-11-2025,Gujarat,Ahmadabad,380050,1,0,0
02-11-2025,Gujarat,Ahmadabad,380058,1,0,0
02-11-2025,Gujarat,Ahmadabad,380061,2,0,0
01-11-2025,Gujarat,Ahmadabad,380013,1,0,0
01-11-2025,Gujarat,Ahmadabad,380061,1,0,0
10-11-2025,Gujarat,Ahmadabad,380004,1,0,0
10-11-2025,Gujarat,Ahmadabad,380016,1,0,0
10-11-2025,Gujarat,Ahmadabad,382418,1,0,0
10-11-2025,Gujarat,Ahmadabad,382460,1,0,0
11-11-2025,Gujarat,Ahmadabad,380001,2,1,0
11-11-2025,Gujarat,Ahmadabad,387810,1,0,0
14-11-2025,Gujarat,Ahmadabad,380021,1,0,0
15-11-2025,Gujarat,Ahmadabad,380051,1,1,0
19-11-2025,Gujarat,Ahmadabad,380028,1,0,0
22-12-2025,Gujarat,Ahmadabad,363421,2,0,0
24-12-2025,Gujarat,Ahmadabad,380016,2,0,0
24-12-2025,Gujarat,Ahmadabad,380051,1,0,0
24-12-2025,Gujarat,Ahmadabad,382350,0,1,0
24-12-2025,Gujarat,Ahmadabad,382445,1,0,0
25-12-2025,Gujarat,Ahmadabad,380052,1,1,0
25-12-2025,Gujarat,Ahmadabad,380061,1,0,0
25-12-2025,Gujarat,Ahmadabad,382443,1,0,0
26-12-2025,Gujarat,Ahmadabad,380007,1,0,0
26-12-2025,Gujarat,Ahmadabad,380051,2,0,0
29-12-2025,Gujarat,Ahmadabad,380001,3,0,0
01-01-2026,Gujarat,Ahmadabad,380001,3,0,0
01-01-2026,Gujarat,Ahmadabad,380006,1,0,0
01-01-2026,Gujarat,Ahmadabad,380014,0,1,0
01-01-2026,Gujarat,Ahmadabad,380024,2,0,0
31-12-2025,Gujarat,Ahmadabad,380008,1,0,0
31-12-2025,Gujarat,Ahmadabad,380028,0,1,0
31-12-2025,Gujarat,Ahmadabad,382345,2,0,0
31-12-2025,Gujarat,Ahmadabad,382445,0,1,0
31-12-2025,Gujarat,Ahmadabad,382463,0,1,0
02-01-2026,Gujarat,Ahmadabad,382405,2,0,0
02-01-2026,Gujarat,Ahmadabad,387810,2,0,0
09-06-2025,Gujarat,Ahmadabad,380016,1,0,0
09-06-2025,Gujarat,Ahmadabad,380024,0,1,0
09-06-2025,Gujarat,Ahmadabad,380055,1,0,0
09-06-2025,Gujarat,Ahmadabad,382440,1,0,0
12-06-2025,Gujarat,Ahmadabad,380013,0,1,0
12-06-2025,Gujarat,Ahmadabad,382350,0,1,0
11-06-2025,Gujarat,Ahmadabad,380024,1,0,0
11-06-2025,Gujarat,Ahmadabad,380051,2,1,0
11-06-2025,Gujarat,Ahmadabad,382230,0,1,0
11-06-2025,Gujarat,Ahmadabad,382350,2,0,0
10-06-2025,Gujarat,Ahmadabad,380001,1,4,0
10-06-2025,Gujarat,Ahmadabad,380015,1,0,0
10-06-2025,Gujarat,Ahmadabad,380028,0,1,0
10-06-2025,Gujarat,Ahmadabad,382350,2,0,0
10-06-2025,Gujarat,Ahmadabad,382460,1,0,0
14-06-2025,Gujarat,Ahmadabad,382440,1,0,0
13-06-2025,Gujarat,Ahmadabad,380024,2,0,0
13-06-2025,Gujarat,Ahmadabad,380051,1,0,0
16-06-2025,Gujarat,Ahmadabad,380006,0,1,0
16-06-2025,Gujarat,Ahmadabad,380050,1,0,0
16-06-2025,Gujarat,Ahmadabad,380054,0,1,0
16-06-2025,Gujarat,Ahmadabad,382443,0,1,0
17-06-2025,Gujarat,Ahmadabad,380016,0,1,0
17-06-2025,Gujarat,Ahmadabad,380028,0,1,0
19-06-2025,Gujarat,Ahmadabad,380001,1,0,0
01-06-2025,Gujarat,Ahmadabad,380016,107,60,12
01-07-2025,Gujarat,Ahmadabad,380001,419,214,10
01-09-2025,Gujarat,Ahmadabad,380004,0,2,0
01-09-2025,Gujarat,Ahmadabad,380008,1,0,0
01-09-2025,Gujarat,Ahmadabad,380024,1,1,0
01-09-2025,Gujarat,Ahmadabad,380061,0,1,0
03-09-2025,Gujarat,Ahmadabad,380008,0,1,0
03-09-2025,Gujarat,Ahmadabad,380021,1,0,0
03-09-2025,Gujarat,Ahmadabad,380026,1,1,0
03-09-2025,Gujarat,Ahmadabad,380051,1,0,0
03-09-2025,Gujarat,Ahmadabad,380059,1,0,0
02-09-2025,Gujarat,Ahmadabad,380005,1,0,0
02-09-2025,Gujarat,Ahmadabad,380061,1,0,0
02-09-2025,Gujarat,Ahmadabad,380063,1,0,0
04-09-2025,Gujarat,Ahmadabad,380007,1,0,0
04-09-2025,Gujarat,Ahmadabad,380026,1,0,0
04-09-2025,Gujarat,Ahmadabad,380052,1,0,0
06-09-2025,Gujarat,Ahmadabad,380001,1,0,0
06-09-2025,Gujarat,Ahmadabad,380021,1,1,0
06-09-2025,Gujarat,Ahmadabad,380058,2,0,0
08-09-2025,Gujarat,Ahmadabad,380008,1,0,0
08-09-2025,Gujarat,Ahmadabad,380009,1,0,0
08-09-2025,Gujarat,Ahmadabad,380050,1,0,0
10-09-2025,Gujarat,Ahmadabad,380006,1,0,0
10-09-2025,Gujarat,Ahmadabad,380007,1,0,0
10-09-2025,Gujarat,Ahmadabad,380024,1,2,0
10-09-2025,Gujarat,Ahmadabad,382481,1,0,0
09-09-2025,Gujarat,Ahmadabad,380055,0,1,0
09-09-2025,Gujarat,Ahmadabad,382350,1,1,0
09-09-2025,Gujarat,Ahmadabad,382475,0,1,0
12-09-2025,Gujarat,Ahmadabad,380008,2,0,0
12-09-2025,Gujarat,Ahmadabad,380013,1,1,0
12-09-2025,Gujarat,Ahmadabad,380028,1,1,0
12-09-2025,Gujarat,Ahmadabad,382210,0,1,0
11-09-2025,Gujarat,Ahmadabad,380008,0,1,0
11-09-2025,Gujarat,Ahmadabad,380021,1,1,0
11-09-2025,Gujarat,Ahmadabad,380022,1,0,0
11-09-2025,Gujarat,Ahmadabad,382418,0,1,0
11-09-2025,Gujarat,Ahmadabad,382440,0,1,0
11-09-2025,Gujarat,Ahmadabad,382481,1,2,0
15-09-2025,Gujarat,Ahmadabad,380001,3,1,0
13-09-2025,Gujarat,Ahmadabad,380007,3,0,0
13-09-2025,Gujarat,Ahmadabad,382350,0,1,0
16-09-2025,Gujarat,Ahmadabad,380024,0,1,0
16-09-2025,Gujarat,Ahmadabad,380055,0,1,0
18-09-2025,Gujarat,Ahmadabad,382110,0,1,0
17-09-2025,Gujarat,Ahmadabad,380018,0,1,0
19-09-2025,Gujarat,Ahmadabad,380050,0,1,0
19-09-2025,Gujarat,Ahmadabad,382220,1,0,0
20-09-2025,Gujarat,Ahmadabad,380007,1,0,0
20-09-2025,Gujarat,Ahmadabad,380026,1,0,0
22-09-2025,Gujarat,Ahmadabad,380007,1,0,0
22-09-2025,Gujarat,Ahmadabad,380026,1,0,0
24-09-2025,Gujarat,Ahmadabad,380001,2,0,0
24-09-2025,Gujarat,Ahmadabad,380015,0,1,0
24-09-2025,Gujarat,Ahmadabad,380024,2,0,0
24-09-2025,Gujarat,Ahmadabad,382425,2,0,0
25-09-2025,Gujarat,Ahmadabad,380013,1,0,0
25-09-2025,Gujarat,Ahmadabad,382440,0,2,0
26-09-2025,Gujarat,Ahmadabad,380024,0,1,0
27-09-2025,Gujarat,Ahmadabad,380024,1,0,0
15-10-2025,Gujarat,Ahmadabad,380001,1,2,0
13-10-2025,Gujarat,Ahmadabad,380008,0,1,0
13-10-2025,Gujarat,Ahmadabad,380021,2,0,0
16-10-2025,Gujarat,Ahmadabad,380001,1,0,0
16-10-2025,Gujarat,Ahmadabad,382330,1,0,0
18-10-2025,Gujarat,Ahmadabad,380026,1,0,0
18-10-2025,Gujarat,Ahmadabad,380055,1,0,0
18-10-2025,Gujarat,Ahmadabad,382425,1,0,0
31-10-2025,Gujarat,Ahmadabad,380018,1,0,0
30-10-2025,Gujarat,Ahmadabad,380061,1,0,0
30-10-2025,Gujarat,Ahmadabad,382418,1,0,0
30-10-2025,Gujarat,Ahmadabad,382440,1,0,0
02-11-2025,Gujarat,Ahmadabad,380001,1,1,0
02-11-2025,Gujarat,Ahmadabad,380008,2,0,0
02-11-2025,Gujarat,Ahmadabad,380009,1,0,0
02-11-2025,Gujarat,Ahmadabad,382440,0,1,0
03-11-2025,Gujarat,Ahmadabad,380015,1,0,0
12-11-2025,Gujarat,Ahmadabad,380004,0,1,0
12-11-2025,Gujarat,Ahmadabad,382345,1,0,0
16-11-2025,Gujarat,Ahmadabad,382480,1,0,0
17-11-2025,Gujarat,Ahmadabad,380028,0,1,0
17-11-2025,Gujarat,Ahmadabad,380058,1,0,0
17-11-2025,Gujarat,Ahmadabad,380059,1,0,0
25-11-2025,Gujarat,Ahmadabad,380001,4,0,0
25-11-2025,Gujarat,Ahmadabad,380007,1,1,0
25-11-2025,Gujarat,Ahmadabad,380008,1,0,0
25-11-2025,Gujarat,Ahmadabad,380018,1,1,0
25-11-2025,Gujarat,Ahmadabad,382415,1,0,0
15-12-2025,Gujarat,Ahmadabad,380013,2,1,0
15-12-2025,Gujarat,Ahmadabad,380019,1,0,0
15-12-2025,Gujarat,Ahmadabad,380061,1,0,0
15-12-2025,Gujarat,Ahmadabad,382115,0,1,0
05-11-2025,Gujarat,Ahmadabad,380058,1,0,0
05-11-2025,Gujarat,Ahmadabad,382345,1,0,0
05-11-2025,Gujarat,Ahmadabad,382443,1,0,0
06-11-2025,Gujarat,Ahmadabad,380061,1,0,0
08-11-2025,Gujarat,Ahmadabad,380008,1,0,0
08-11-2025,Gujarat,Ahmadabad,382480,2,0,0
09-11-2025,Gujarat,Ahmadabad,380004,1,0,0
09-11-2025,Gujarat,Ahmadabad,380018,1,0,0
10-11-2025,Gujarat,Ahmadabad,380001,1,0,0
10-11-2025,Gujarat,Ahmadabad,380024,1,0,0
15-11-2025,Gujarat,Ahmadabad,380016,1,0,0
15-11-2025,Gujarat,Ahmadabad,380055,0,1,0
15-11-2025,Gujarat,Ahmadabad,382240,1,0,0
14-11-2025,Gujarat,Ahmadabad,382345,1,0,0
19-11-2025,Gujarat,Ahmadabad,380001,4,0,0
19-11-2025,Gujarat,Ahmadabad,380008,1,0,0
